,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
0,마이도기,소매,일반의류,서울특별시 동작구 흑석로 84,126.954687343179,37.505535833192
1,아람중화요리,음식,중국음식/중국집,서울특별시 동작구 현충로 151,126.970617005438,37.506018127451
2,중앙대학교병원장례식장,생활서비스,장의사/관련서비스-종합,서울특별시 동작구 흑석로 102,126.960403556205,37.5060277945876
3,슈퍼피맥,음식,피자전문,서울특별시 동작구 서달로10길 4,126.9616523713,37.5065073245597
4,대박회집,음식,횟집,서울특별시 동작구 흑석로 111-5,126.961004396684,37.5083758085593
5,호치킨하우스,음식,후라이드/양념치킨,서울특별시 동작구 서달로 165-1,126.962672115361,37.5080120258655
6,지리산건강원,소매,건강식품판매,서울특별시 동작구 서달로12길 13,126.962539183665,37.5069926729147
7,꼬마사랑어린이집,학문/교육,어린이집,서울특별시 동작구 현충로 119,126.967055181563,37.5084108567305
8,16.8,음식,빠/카페/스탠드빠,서울특별시 동작구 흑석로 109-1,126.961106680737,37.5083406662763
9,우슬재,음식,한식/백반/한정식,서울특별시 동작구 현충로 94,126.964176383953,37.5080162164145
10,쉬즈뷰티타운,생활서비스,비만/피부관리,서울특별시 동작구 현충로 119,126.967238242555,37.5082592790766
11,자매호프포차,음식,소주방/포장마차,서울특별시 동작구 서달로12가길 11,126.962718420691,37.506300439143
12,매직엔PC방,관광/여가/오락,인터넷PC방,서울특별시 동작구 서달로15길 23,126.961625040908,37.5084803816401
13,폴스브레드,음식,제과점,서울특별시 동작구 현충로14길 2,126.96851314599,37.5060268058027
14,네일스킨앤바디,생활서비스,비만/피부관리,서울특별시 동작구 서달로14사길 3-1,126.965184666513,37.5070789523638
15,네일블룸,생활서비스,발/네일케어,서울특별시 동작구 서달로 150,126.962171343589,37.5066019904172
16,싸움의고수중앙대점,음식,한식/백반/한정식,서울특별시 동작구 흑석로 83-1,126.958791963546,37.5072390262868
17,헤어엔유,생활서비스,여성미용실,서울특별시 동작구 흑석로 84,126.953838046904,37.5047984647821
18,커리야CURRYYA,음식,정통양식/경양식,서울특별시 동작구 흑석로 97-4,126.960266723947,37.5077385833302
19,제일DM서비스,소매,서점,서울특별시 동작구 서달로 61,126.959987133548,37.4993563617973
20,컴닥터흑석점,생활서비스,컴퓨터수리,서울특별시 동작구 서달로14가길 16,126.962715767534,37.5073095909421
21,곱창고,음식,곱창/양구이전문,서울특별시 동작구 서달로14길 8,126.963477321776,37.5078569056799
22,오렌즈중앙대점,소매,안경원,서울특별시 동작구 흑석로 87-1,126.959401660988,37.5073164830346
23,명문공인중개사사무소,부동산,부동산중개,서울특별시 동작구 서달로 91,126.958973414953,37.5031318414671
24,CU,소매,편의점,서울특별시 동작구 현충로 90,126.963550979485,37.5090739681855
25,Watsons,생활서비스,비만/피부관리,서울특별시 동작구 현충로 90,126.963550979485,37.5090739681855
26,또와분식,음식,라면김밥분식,서울특별시 동작구 서달로14사길 10,126.964973025598,37.5068428252156
27,연어이야기,음식,한식/백반/한정식,서울특별시 동작구 흑석로 115,126.961428287068,37.5088030293919
28,바야흐로,음식,정통양식/경양식,서울특별시 동작구 현충로 102,126.964805241601,37.5075261523505
29,포포인,음식,패스트푸드,서울특별시 동작구 흑석로 84,126.953838046904,37.5047984647821
30,썬에스테틱,생활서비스,비만/피부관리,서울특별시 동작구 서달로 91,126.958973414953,37.5031318414671
31,BHC치킨흑석점,음식,후라이드/양념치킨,서울특별시 동작구 흑석한강로 2,126.966503491965,37.5065859111797
32,황토정숯불갈비,음식,갈비/삼겹살,서울특별시 동작구 서달로13길 5-23,126.9618507752,37.507698453276
33,스타벅스,음식,커피전문점/카페/다방,서울특별시 동작구 흑석로 75-1,126.958128851814,37.5069358330654
34,어촌마을,음식,한식/백반/한정식,서울특별시 동작구 서달로15길 23,126.961625040908,37.5084803816401
35,유플러스스퀘어엔에스플러스,소매,핸드폰소매,서울특별시 동작구 흑석로 110-1,126.961423967931,37.5082984040652
36,침사추이,음식,중국음식/중국집,서울특별시 동작구 현충로 131,126.968151156027,37.5068526098628
37,흑석제일공인중개사사무소,부동산,부동산중개,서울특별시 동작구 서달로14라길 12,126.963784440942,37.5069134986833
38,아딸,음식,떡볶이전문,서울특별시 동작구 현충로 119,126.967782706809,37.5081469018967
39,숙이네,소매,침구/수예품,서울특별시 동작구 서달로12가길 5,126.962713932852,37.5066247774611
40,태성건축,생활서비스,배관난방보일러,서울특별시 동작구 서달로12가길 41,126.962714252156,37.504966849471
41,홍탕,음식,호프/맥주,서울특별시 동작구 흑석로 101-7,126.960737467809,37.5080490827053
42,비버리힐스폴로클럽중대점,소매,일반의류,서울특별시 동작구 서달로 149,126.96144531232,37.5067577979604
43,중고서적,소매,서점,서울특별시 동작구 서달로 149,126.96144531232,37.5067577979604
44,명가한식부페,음식,종합부페,서울특별시 동작구 흑석로 112,126.961604294144,37.5083450419227
45,베이커즈원,음식,제과점,서울특별시 동작구 현충로 131,126.968151156027,37.5068526098628
46,초록마을,소매,건강식품판매,서울특별시 동작구 흑석한강로 2,126.966503491965,37.5065859111797
47,금미대만대왕카스테라,음식,제과점,서울특별시 동작구 서달로 159,126.962065776659,37.5076913322419
48,정부대찌개,음식,부대찌개/섞어찌개,서울특별시 동작구 흑석로 94,126.95996799772,37.507258397524
49,휘트니스452,스포츠,헬스클럽,서울특별시 동작구 흑석한강로 2,126.966503491965,37.5065859111797
50,큰맘원조할매순대국,음식,순대전문점,서울특별시 동작구 서달로 167,126.962773026881,37.5080759854673
51,올리브영중앙대점,소매,화장품판매점,서울특별시 동작구 흑석로 81,126.958579591629,37.5070569442952
52,옛날장터치킨,음식,후라이드/양념치킨,서울특별시 동작구 현충로 100,126.964587378582,37.5077404946117
53,원조등대아구찜,음식,해물찜/탕전문,서울특별시 동작구 현충로 104,126.964986812134,37.5074826910297
54,부동산뉴스,부동산,부동산중개,서울특별시 동작구 현충로 110,126.965772621661,37.5070931123146
55,대명청과,소매,청과물소매,서울특별시 동작구 현충로 119,126.967238242555,37.5082592790766
56,봉추찜닭중앙대점,음식,찜닭전문점,서울특별시 동작구 흑석로 88,126.959337182524,37.5070726317804
57,퍼블릭하우스,음식,한식/백반/한정식,서울특별시 동작구 서달로14길 38,126.964853340167,37.5073193325458
58,전주해물콩나물국밥,음식,해물찜/탕전문,서울특별시 동작구 흑석로9길 4,126.959962372842,37.5076638199986
59,내가찜한닭,음식,한식/백반/한정식,서울특별시 동작구 흑석로 87,126.959354923212,37.5074241971416
60,베브릿지중앙대점,음식,커피전문점/카페/다방,서울특별시 동작구 흑석로9길 4,126.959962372842,37.5076638199986
61,바비박스,음식,도시락전문점,서울특별시 동작구 흑석로 84,126.953838046904,37.5047984647821
62,두끼떡볶이,음식,떡볶이전문,서울특별시 동작구 흑석로 94,126.95996799772,37.507258397524
63,크린토피아,생활서비스,세탁소/빨래방,서울특별시 동작구 서달로 150,126.962171343589,37.5066019904172
64,아르티장테이블,음식,한식/백반/한정식,서울특별시 동작구 흑석한강로 27,126.966187323429,37.5040872368417
65,出國,음식,커피전문점/카페/다방,서울특별시 동작구 서달로14사길 5-1,126.965140549001,37.5069974714131
66,오다헤어,생활서비스,여성미용실,서울특별시 동작구 흑석로 106-5,126.961441019183,37.5078840714923
