,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
0,스시효,음식,음식점-초밥전문,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
1,반얀트리스파,생활서비스,비만/피부관리,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
2,다향관휴게실,소매,편의점,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
3,봉구네한우장충동점,음식,갈비/삼겹살,서울특별시 중구 퇴계로56길 53,127.005633328723,37.5614712569442
4,BKR버거킹,음식,패스트푸드,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
5,더페이스샵동국대점,소매,화장품판매점,서울특별시 중구 필동로1길 40,126.998405206049,37.5585898898803
6,BHC치킨,음식,한식/백반/한정식,서울특별시 중구 동호로 260,127.004972072639,37.5592761480867
7,메르씨,음식,커피전문점/카페/다방,서울특별시 중구 퇴계로50길 53,127.001120977019,37.5603338920787
8,학술문화관식당,음식,한식/백반/한정식,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
9,플레이도키즈라운지,음식,커피전문점/카페/다방,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
10,발렉스트라,소매,가방/가죽제품소매,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
11,가발리스,소매,가발판매,서울특별시 중구 동호로 300,127.003067601645,37.5611973270511
12,서울다이닝,음식,정통양식/경양식,서울특별시 중구 동호로 272,127.003614123929,37.5592556852112
13,정관장,소매,인삼제품판매,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
14,모이나갤러리신라,소매,가방/가죽제품소매,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
15,황태와쭈꾸미본점,음식,낙지/오징어,서울특별시 중구 동호로30길 41,127.005229489717,37.5611975416946
16,스타벅스,음식,커피전문점/카페/다방,서울특별시 중구 장충단로 166,127.006133081622,37.559637334572
17,풍진비닐상사,소매,종합소매,서울특별시 중구 장충단로7가길 1,127.005564765668,37.5623717235524
18,케이엔코리아,소매,운동/경기용품,서울특별시 중구 장충단로 203,127.006519593011,37.5629203887229
19,도가네나주곰탕,음식,설렁탕집,서울특별시 중구 동호로24길 3,127.005130034862,37.5593135210451
20,더허채원,생활서비스,여성미용실,서울특별시 중구 퇴계로50길 53,127.001109779912,37.5603247869039
21,GS25장충남산,소매,편의점,서울특별시 중구 장충단로 175,127.005542367976,37.5606505405543
22,더바디샵신라면세점서울점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
23,지에스25동국사랑,소매,편의점,서울특별시 중구 동호로25길 45,127.001042466795,37.5594321837309
24,오아시스모바일키친3,소매,핸드폰소매,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
25,서울달빛DDP게스트하우스,숙박,민박/하숙,서울특별시 중구 퇴계로56가길 2,127.005494643586,37.5616863393894
26,메인키친,음식,종합부페,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
27,안뜨레,음식,한식/백반/한정식,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
28,빅라인스포츠,소매,운동/경기용품,서울특별시 중구 장충단로6가길 15,127.007932350907,37.5613734621744
29,자타스포츠,소매,운동/경기용품,서울특별시 중구 장충단로8길 42,127.008806288807,37.5620475754263
30,믹스스포츠,소매,운동/경기용품,서울특별시 중구 장충단로 209,127.006704938006,37.563453564217
31,현대부동산컨설팅,부동산,부동산중개,서울특별시 중구 장충단로 199,127.006445513379,37.5625323163796
32,어게인리프레쉬,음식,정통양식/경양식,서울특별시 중구 장충단로8길 11,127.007096961844,37.5620602435412
33,닭치고오리,음식,오리고기전문,서울특별시 중구 퇴계로56길 54,127.005361706901,37.5614689689126
34,신우인쇄,생활서비스,인쇄종합,서울특별시 중구 장충단로7길 19,127.005326734368,37.562396749673
35,장충본가순대국,음식,순대전문점,서울특별시 중구 퇴계로52길 22,127.003822558359,37.5623029732879
36,하예산고시원,학문/교육,고시원,서울특별시 중구 동호로25길 26,127.001794573955,37.5590510960288
37,해피바이러스오케스트라,관광/여가/오락,연극/음악/예술관련기타,서울특별시 중구 장충단로6길 5,127.006887307807,37.5616530102563
38,CU,소매,편의점,서울특별시 중구 장충단로8길 12,127.00713557783,37.5617091610556
39,보나비아티제신라,음식,커피전문점/카페/다방,서울특별시 중구 동호로 236,127.007741964283,37.5586597181606
40,핫앤프라이,음식,후라이드/양념치킨,서울특별시 중구 동호로 241,127.006655756522,37.5586325633875
41,카페드블록,음식,커피전문점/카페/다방,서울특별시 중구 퇴계로 272,127.001936970622,37.5628006428627
42,천미식당,음식,한식/백반/한정식,서울특별시 중구 퇴계로56가길 2-2,127.005425180947,37.5618028899758
43,다눔카페,음식,커피전문점/카페/다방,서울특별시 중구 동호로25길 33,127.001339962124,37.5591914185866
44,그랜드앰배서더서울,생활서비스,예식장/예식서비스,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
