,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
0,가마로강정,음식,후라이드/양념치킨,서울특별시 관악구 대학길 47,126.937792488104,37.468604242181
1,탁배기집,음식,라면김밥분식,서울특별시 관악구 호암로22길 52,126.935576654987,37.4686113337805
2,GS25관악고시촌점,소매,편의점,서울특별시 관악구 호암로24길 74,126.937207982901,37.4691666496609
3,일번지막창신림동본점,음식,곱창/양구이전문,서울특별시 관악구 호암로26가길 43,126.933289161904,37.4688880527009
4,덕봉식당,음식,한식/백반/한정식,서울특별시 관악구 호암로24길 24,126.934455886238,37.4695203060221
5,느티나무,음식,커피전문점/카페/다방,서울특별시 관악구 관악로 1,126.959279517057,37.4680295491979
6,몽닭발,음식,닭내장/닭발요리,서울특별시 관악구 신림로11길 11-5,126.939162043762,37.4700852622086
7,킹스타피자,음식,피자전문,서울특별시 관악구 신림로 107,126.937381010245,37.4705197849851
8,대박집,음식,한식/백반/한정식,서울특별시 관악구 호암로22길 11,126.933399379123,37.4690872792208
9,죽림서적,소매,서점,서울특별시 관악구 대학6길 25,126.936261178234,37.4689689087599
10,세븐일레븐신림고시촌점,소매,편의점,서울특별시 관악구 신림로23길 34,126.93462531008,37.4695308442586
11,웰빙신선,소매,수퍼마켓,서울특별시 관악구 대학5길 26,126.93918671602,37.4691393781214
12,지코바치킨신림1호점,음식,한식/백반/한정식,서울특별시 관악구 호암로24길 32,126.934863449556,37.4694789280159
13,GS25신림대학점,소매,편의점,서울특별시 관악구 신림로23길 22,126.934629964425,37.4699994335622
14,육회지존,음식,한식/백반/한정식,서울특별시 관악구 대학5길 6,126.93798817282,37.4691556434314
15,디디치킨,음식,후라이드/양념치킨,서울특별시 관악구 대학10길 22,126.936425737315,37.4677269370535
16,시스타,음식,한식/백반/한정식,서울특별시 관악구 호암로26길 72,126.937556812823,37.4700798500378
17,김창호,생활서비스,유리창호,서울특별시 관악구 호암로24길 77,126.937590386013,37.4693052464922
18,통큰두마리찜닭&수원왕갈비통닭신림대학동점,음식,후라이드/양념치킨,서울특별시 관악구 호암로24길 47,126.935789310185,37.469559354641
19,세븐일레븐관악호암로점,소매,편의점,서울특별시 관악구 호암로22길 21,126.933943092847,37.4690110911829
20,위플래이스,음식,커피전문점/카페/다방,서울특별시 관악구 호암로24길 22,126.934307790284,37.4696000651604
21,더오믈렛,음식,정통양식/경양식,서울특별시 관악구 신림로21길 40,126.935033073459,37.4686785200357
22,아찌헤어,생활서비스,여성미용실,서울특별시 관악구 신림로7나길 2,126.941322420427,37.470005522523
23,엔제리너스,음식,커피전문점/카페/다방,서울특별시 관악구 호암로26길 40,126.935801571189,37.4702893177077
24,다니엘스키친,음식,음식점-일식,서울특별시 관악구 신림로23길 20-9,126.934323490357,37.4700867751302
25,씨크헤어,생활서비스,여성미용실,서울특별시 관악구 대학길 35,126.937796524884,37.4691178786514
26,도미노피자신림점,음식,피자전문,서울특별시 관악구 신림로 123,126.935625757866,37.4707292498618
27,파더스잡,소매,컴퓨터/주변기기,서울특별시 관악구 대학7길 44,126.940168476371,37.4684633876358
