,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
0,제시카키친,음식,패밀리레스토랑,서울특별시 서대문구 성산로 527,126.9440718597,37.5637659708989
1,크라제버거,음식,한식/백반/한정식,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
2,오피스디포,소매,사무/문구용품,서울특별시 서대문구 이화여대길 48,126.945858923752,37.5590424717547
3,메이퀸,생활서비스,발/네일케어,서울특별시 서대문구 이화여대길 43,126.945465749308,37.5588317213455
4,자연담은치킨,음식,후라이드/양념치킨,서울특별시 서대문구 연세로7길 14,126.936041256494,37.5577740431597
5,신촌부대찌개,음식,부대찌개/섞어찌개,서울특별시 서대문구 연세로 3-5,126.936453045722,37.5558765594168
6,투썸플레이스신촌점,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로 1,126.936646834214,37.5557791905251
7,현대홈마트,소매,할인점,서울특별시 서대문구 이화여대길 50-12,126.946498411214,37.5594446374672
8,S스낵,음식,스낵,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
9,미미뷰티,생활서비스,비만/피부관리,서울특별시 서대문구 이화여대길 34,126.945924012362,37.5584393559433
10,공간PC방,관광/여가/오락,인터넷PC방,서울특별시 서대문구 신촌로 17,126.928995273287,37.5581968975094
11,파파노다이닝돈부리,음식,음식점-일식,서울특별시 서대문구 이화여대5길 6,126.945426195505,37.5584258999561
12,상상헤어,생활서비스,여성미용실,서울특별시 서대문구 연세로5다길 22-4,126.934494552643,37.5567058782486
13,싸움의고수,음식,한식/백반/한정식,서울특별시 서대문구 명물길 20,126.937909163679,37.5577458094583
14,연세대학교백양로,음식,한식/백반/한정식,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
15,린뷰티,생활서비스,비만/피부관리,서울특별시 서대문구 신촌로 127,126.939976134226,37.556448867196
16,식탁,음식,한식/백반/한정식,서울특별시 서대문구 성산로 527,126.9440718597,37.5637659708989
17,파스쿠찌신촌연세대점,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로 20,126.937086494861,37.557495125223
18,오리옥스신촌세브란스점,음식,종합부페,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
19,업타운카페세브란스병원점,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
20,버거헌터,음식,패스트푸드,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
21,정글주스,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
22,가나안경원,소매,안경원,서울특별시 서대문구 신촌역로 29,126.942091513148,37.558927680141
23,와사비횟집,음식,횟집,서울특별시 서대문구 연세로4길 48,126.939082148409,37.558035678028
24,잡모아,생활서비스,인력공급/고용알선,서울특별시 서대문구 신촌로 21,126.929268939434,37.5580552134938
25,향음악사,소매,음반/테이프/CD,서울특별시 서대문구 연세로9길 3,126.936609833346,37.5583828621905
26,이디야커피,음식,커피전문점/카페/다방,서울특별시 서대문구 신촌로 87-20,126.936444210397,37.556498197347
27,삼성전자판매이대점,소매,일반가전제품,서울특별시 서대문구 이화여대길 75,126.944286242995,37.5590013881549
28,데몬헤어,생활서비스,여성미용실,서울특별시 서대문구 이화여대5길 12,126.94504154787,37.5584134531511
29,이빠네마그릴,음식,정통양식/경양식,서울특별시 서대문구 연세로4길 6,126.937332462787,37.5569116635082
30,나나웨딩드레스,소매,예복/웨딩드레스,서울특별시 서대문구 신촌로 189,126.946960538536,37.5571691281343
31,우동촌,음식,우동전문점,서울특별시 서대문구 명물길 36-7,126.93886623447,37.5580968104166
32,시간여행,소매,여성의류전문점,서울특별시 서대문구 신촌역로 19,126.94253796797,37.5585712637975
33,온누리음악학원,학문/교육,피아노/바이올린/기타,서울특별시 서대문구 이화여대길 50-12,126.946498411214,37.5594446374672
34,우리동네사진관,생활서비스,사진관,서울특별시 서대문구 연세로 1,126.936646834214,37.5557791905251
35,위즈아일랜드,학문/교육,학원(종합),서울특별시 서대문구 성산로 527,126.9440718597,37.5637659708989
36,메가엠디신촌,학문/교육,학원-입시,서울특별시 서대문구 연세로 12,126.937178124601,37.5566219415003
37,파오,음식,한식/백반/한정식,서울특별시 서대문구 이화여대길 34,126.945924012362,37.5584393559433
38,육쌈냉면,음식,냉면집,서울특별시 서대문구 이화여대길 76,126.944259414023,37.559298491459
39,위드미,음식,한식/백반/한정식,서울특별시 서대문구 성산로 565,126.946321109963,37.5664080915476
40,이대종합분식,음식,라면김밥분식,서울특별시 서대문구 이화여대1길 46,126.943076616917,37.5572966101351
41,CU,소매,편의점,서울특별시 서대문구 봉원사길 12,126.946660553493,37.5672220558758
42,박승철헤어스투디오,생활서비스,여성미용실,서울특별시 서대문구 연세로 8,126.93710505099,37.5561887845165
43,카페필름포럼,음식,커피전문점/카페/다방,서울특별시 서대문구 성산로 527,126.9440718597,37.5637659708989
44,크리스터,음식,호프/맥주,서울특별시 서대문구 연세로11길 30,126.935152171946,37.5590094620801
45,간단하지만특별한화피디Cafe,음식,커피전문점/카페/다방,서울특별시 서대문구 연세로2다길 17,126.939064293211,37.5569002073163
46,스트릿연세세브란스점,음식,퓨전음식전문,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
47,한상차림,음식,한식/백반/한정식,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
48,빚은,소매,식료품점,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037
49,푸드홀,음식,라면김밥분식,서울특별시 서대문구 이화여대길 52,126.950301476769,37.5642810556138
50,제시인뉴욕헤어,생활서비스,여성미용실,서울특별시 서대문구 신촌로9길 9,126.932083862249,37.5574950332574
51,퀘스트룸,음식,한식/백반/한정식,서울특별시 서대문구 연세로5가길 22,126.935480673108,37.5573995637683
52,페니유니버시티,음식,한식/백반/한정식,서울특별시 서대문구 성산로 519,126.943411113599,37.56326448759
53,롯데마켓999,소매,종합소매,서울특별시 서대문구 명물길 62,126.939659515747,37.55882476945
54,팔색,음식,한식/백반/한정식,서울특별시 서대문구 신촌로 149,126.942482942316,37.5568587947185
55,고베규카츠,음식,음식점-일식,서울특별시 서대문구 명물길 32,126.938425772916,37.5580297780237
56,이대마라탕,음식,중국음식/중국집,서울특별시 서대문구 신촌역로 23,126.942434078324,37.5587144996336
