,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
0,11749509,가마로강정,녹두거리점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102460049,1,대지,246,49,서울특별시 관악구 신림동 246-49,116204160321,서울특별시 관악구 대학길,47,,1162010200102460049005829,,서울특별시 관악구 대학길 47,151859,08814,,1,,126.937792488104,37.468604242181,가마로강정%20대학동,https://m.place.naver.com/restaurant/37450415,"치킨,닭강정",86.0
1,11753192,탁배기집,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115460002,1,대지,1546,2,서울특별시 관악구 신림동 1546-2,116204160765,서울특별시 관악구 호암로22길,52,,1162010200115460002005836,,서울특별시 관악구 호암로22길 52,151897,08819,,1,,126.935576654987,37.4686113337805,탁배기집%20대학동,https://m.place.naver.com/restaurant/1713811880,한식,31.0
3,11767638,일번지막창신림동본점,신림동본점,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115560000,1,대지,1556,,서울특별시 관악구 신림동 1556,116204160768,서울특별시 관악구 호암로26가길,43,,1162010200115560000005731,관리형독서실,서울특별시 관악구 호암로26가길 43,151897,08812,,1,,126.933289161904,37.4688880527009,일번지막창신림동본점%20대학동,https://m.place.naver.com/restaurant/1597336037,"곱창,막창,양",80.0
4,11771039,덕봉식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115330005,1,대지,1533,5,서울특별시 관악구 신림동 1533-5,116204160767,서울특별시 관악구 호암로24길,24,,1162010200115330005005365,대학관고시텔,서울특별시 관악구 호암로24길 24,151895,08812,,1,,126.934455886238,37.4695203060221,덕봉식당%20대학동,https://m.place.naver.com/restaurant/38008347,한식,367.0
5,11782406,느티나무,도서관점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200200560001,2,산,56,1,서울특별시 관악구 신림동 산56-1,116203120001,서울특별시 관악구 관악로,1,,1162010100102390001031057,서울대학교,서울특별시 관악구 관악로 1,151742,08826,,,,126.959279517057,37.4680295491979,느티나무%20대학동,https://m.place.naver.com/restaurant/1735723231,"카페,디저트",396.0
6,11794401,몽닭발,,Q,음식,Q05,닭/오리요리,Q05A10,닭내장/닭발요리,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102410057,1,대지,241,57,서울특별시 관악구 신림동 241-57,116204160500,서울특별시 관악구 신림로11길,11,5,1162010200102410057005380,,서울특별시 관악구 신림로11길 11-5,151858,08814,,,,126.939162043762,37.4700852622086,몽닭발%20대학동,https://m.place.naver.com/restaurant/21219566,닭발,57.0
7,11845526,킹스타피자,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115160002,1,대지,1516,2,서울특별시 관악구 신림동 1516-2,116203120005,서울특별시 관악구 신림로,107,,1162010200115160002005329,,서울특별시 관악구 신림로 107,151895,08813,,1,,126.937381010245,37.4705197849851,킹스타피자%20대학동,https://m.place.naver.com/restaurant/37838226,피자,87.0
8,11851386,대박집,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115320016,1,대지,1532,16,서울특별시 관악구 신림동 1532-16,116204160765,서울특별시 관악구 호암로22길,11,,1162010200115320016005548,목민당,서울특별시 관악구 호암로22길 11,151895,08812,,1,,126.933399379123,37.4690872792208,대박집%20대학동,https://m.place.naver.com/restaurant/1080672378,한식,310.0
12,11878467,지코바치킨신림1호점,신림1호점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115340000,1,대지,1534,,서울특별시 관악구 신림동 1534,116204160767,서울특별시 관악구 호암로24길,32,,1162010200115340000005506,,서울특별시 관악구 호암로24길 32,151895,08813,,1,,126.934863449556,37.4694789280159,지코바치킨신림1호점%20대학동,https://m.place.naver.com/restaurant/37672828,"치킨,닭강정",42.0
14,11915896,육회지존,서울대점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102460032,1,대지,246,32,서울특별시 관악구 신림동 246-32,116204160317,서울특별시 관악구 대학5길,6,,1162010200102460032005542,,서울특별시 관악구 대학5길 6,151859,08814,,1,,126.93798817282,37.4691556434314,육회지존%20대학동,https://m.place.naver.com/restaurant/13569180,"육류,고기요리",80.0
