,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
4,11789029,친구,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105010001,1,대지,501,1,서울특별시 동작구 상도동 501-1,115903119004,서울특별시 동작구 사당로,8,,1159010200105010001020912,,서울특별시 동작구 사당로 8,156030,07027,,4,,126.955293492757,37.4953142829304,친구%20상도1동,https://m.place.naver.com/restaurant/1672155072,생활체육,16
5,11792428,보물쌈,상도동점,Q,음식,Q01,한식,Q01A08,족발/보쌈전문,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300103890012,1,대지,389,12,서울특별시 동작구 상도1동 389-12,115903119005,서울특별시 동작구 상도로,296,2,1159010200101590170029313,계경목장,서울특별시 동작구 상도로 296-2,156031,07032,,2,,126.948935052548,37.5011687650332,보물쌈%20상도1동,https://m.place.naver.com/restaurant/19763907,"족발,보쌈",157
6,11793476,풍년집,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105000016,1,대지,500,16,서울특별시 동작구 상도동 500-16,115903119005,서울특별시 동작구 상도로,383,,1159010200105000016019770,,서울특별시 동작구 상도로 383,156030,07027,,1,,126.955105534689,37.4950062634461,풍년집%20상도1동,https://m.place.naver.com/restaurant/1343922803,"육류,고기요리",2
12,11911274,취향,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105010002,1,대지,501,2,서울특별시 동작구 상도동 501-2,115903119004,서울특별시 동작구 사당로,6,1,1159010200105010002019642,,서울특별시 동작구 사당로 6-1,156030,07027,,2,,126.955157552813,37.4953311016695,취향%20상도1동,https://m.place.naver.com/restaurant/37873958,중식당,218
13,11917318,지코바양념치킨,상도1호점,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300103670001,1,대지,367,1,서울특별시 동작구 상도1동 367-1,115904157348,서울특별시 동작구 상도로37길,32,,1159010300103670001029261,모가화장품,서울특별시 동작구 상도로37길 32,156836,06970,,1,,126.950227727425,37.5009279662358,지코바양념치킨%20상도1동,https://m.place.naver.com/restaurant/37898315,"치킨,닭강정",76
15,11931445,스타벅스숭실대입구역점,숭실대입구역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104750005,1,대지,475,5,서울특별시 동작구 상도동 475-5,115903119005,서울특별시 동작구 상도로,354,,1159010200104750004020804,재원어린이집,서울특별시 동작구 상도로 354,156030,07040,,1,,126.952704694419,37.4968681980081,스타벅스숭실대입구역점%20상도1동,https://m.place.naver.com/restaurant/37391902,카페,"2,915"
16,11953292,커피나무,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300103920000,1,대지,392,,서울특별시 동작구 상도1동 392,115903119005,서울특별시 동작구 상도로,297,1,1159010300103920000000001,김엔한스가,서울특별시 동작구 상도로 297-1,156836,06970,,1,,126.949680767382,37.5012204503913,커피나무%20상도1동,https://m.place.naver.com/restaurant/783672064,카페,257
18,11975979,신전떡볶이,숭실대점,Q,음식,Q08,제과제빵떡케익,Q08A04,떡/한과집,I56191,제과점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200104940001,1,대지,494,1,서울특별시 동작구 상도동 494-1,115903119005,서울특별시 동작구 상도로,372,3,1159010200104940001019381,,서울특별시 동작구 상도로 372-3,156030,07040,,,,126.953776666536,37.4954179956185,신전떡볶이%20상도1동,https://m.place.naver.com/restaurant/38325757,분식,505
19,11984505,유프,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200100070085,1,대지,7,85,서울특별시 동작구 상도동 7-85,115903119010,서울특별시 동작구 흑석로,27,,1159010200100070085028927,,서울특별시 동작구 흑석로 27,156030,06912,,2,,126.953720306331,37.505130809993,유프%20상도1동,https://m.place.naver.com/restaurant/1496486342,"카페,디저트",12
32,12036331,알렉스플레이스,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300103660004,1,대지,366,4,서울특별시 동작구 상도1동 366-4,115904157348,서울특별시 동작구 상도로37길,31,,1159010300103660004029263,횡성축산물직판장,서울특별시 동작구 상도로37길 31,156031,06970,,1,,126.950362291179,37.5010102564342,알렉스플레이스%20상도1동,https://m.place.naver.com/restaurant/38522538,햄버거,94
39,12066187,브레댄코,숭실대입구역점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105140000,1,대지,514,,서울특별시 동작구 상도동 514,115903119005,서울특별시 동작구 상도로,365,2,1159010200105150000000001,7호선숭실대입구역,서울특별시 동작구 상도로 365-2,156030,07040,,B1,,126.954042641449,37.4958078024852,브레댄코%20상도1동,https://m.place.naver.com/restaurant/1398614705,베이커리,697
46,12100768,카페디차,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300104420001,1,대지,442,1,서울특별시 동작구 상도1동 442-1,115904157364,서울특별시 동작구 상도로47길,89,,1159010300104420001029232,,서울특별시 동작구 상도로47길 89,156031,06969,,1,,126.951723731379,37.5031308008449,카페디차%20상도1동,https://m.place.naver.com/restaurant/1626556165,"카페,디저트",8
47,12102984,프라이밋,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300102650001,1,대지,265,1,서울특별시 동작구 상도1동 265-1,115904157348,서울특별시 동작구 상도로37길,42,,1159010300102650001034399,,서울특별시 동작구 상도로37길 42,156031,06970,,1,,126.951009165892,37.5000428694403,프라이밋%20상도1동,https://m.place.naver.com/restaurant/1826405755,양식,114
48,12106436,갓프레소,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010300,상도1동,1159010300104280004,1,대지,428,4,서울특별시 동작구 상도1동 428-4,115904157356,서울특별시 동작구 상도로41길,24,,1159010300104280004029002,,서울특별시 동작구 상도로41길 24,156836,06970,,1,,126.950461753654,37.5019842731828,갓프레소%20상도1동,https://m.place.naver.com/restaurant/1198996797,카페,28
51,12115383,신의주찹쌀순대,,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200105050009,1,대지,505,9,서울특별시 동작구 상도동 505-9,115904157384,서울특별시 동작구 상도로61길,37,,1159010200105050009020104,트릭PC,서울특별시 동작구 상도로61길 37,156881,07027,,1,,126.957018108479,37.4949060282969,신의주찹쌀순대%20상도1동,https://m.place.naver.com/restaurant/1003190730,"순대,순댓국",162
60,12125407,풍년집,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1159010200101590026,1,대지,159,26,서울특별시 동작구 상도동 159-26,115903119005,서울특별시 동작구 상도로,306,,1159010200101590026029319,성창C&C,서울특별시 동작구 상도로 306,156836,07032,,1,,126.949555291757,37.5004894848872,풍년집%20상도1동,https://m.place.naver.com/restaurant/1343922803,"육류,고기요리",2
