,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
1,10404159,아람중화요리,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100280000,1,대지,28,,서울특별시 동작구 흑석동 28,115903119009,서울특별시 동작구 현충로,151,,1159010500100280001015902,한강현대아파트,서울특별시 동작구 현충로 151,156792,06904,,2,,126.970617005438,37.506018127451,아람중화요리%20흑석동,https://m.place.naver.com/restaurant/18709811,중식당,174.0
4,11794384,대박회집,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500101810015,1,대지,181,15,서울특별시 동작구 흑석동 181-15,115903119010,서울특별시 동작구 흑석로,111,5,1159010500101810015017792,,서울특별시 동작구 흑석로 111-5,156860,06910,,,,126.961004396684,37.5083758085593,대박회집%20흑석동,https://m.place.naver.com/restaurant/1955409980,생선회,45.0
5,11805497,호치킨하우스,중앙대점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500101020130,1,대지,102,130,서울특별시 동작구 흑석동 102-130,115903119006,서울특별시 동작구 서달로,165,1,1159010500101020130016132,,서울특별시 동작구 서달로 165-1,156860,06972,,,,126.962672115361,37.5080120258655,호치킨하우스%20흑석동,https://m.place.naver.com/restaurant/32481122,"치킨,닭강정",457.0
8,11852622,16.8,,Q,음식,Q09,유흥주점,Q09A08,빠/카페/스탠드빠,I56211,일반유흥 주점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500101810016,1,대지,181,16,서울특별시 동작구 흑석동 181-16,115903119010,서울특별시 동작구 흑석로,109,1,1159010500101810016018142,,서울특별시 동작구 흑석로 109-1,156860,06910,,3,,126.961106680737,37.5083406662763,16.8%20흑석동,https://m.place.naver.com/restaurant/1409389167,0,
9,11879374,우슬재,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100060010,1,대지,6,10,서울특별시 동작구 흑석동 6-10,115903119009,서울특별시 동작구 현충로,94,,1159010500100060010015152,,서울특별시 동작구 현충로 94,156877,06979,,1,,126.964176383953,37.5080162164145,우슬재%20흑석동,https://m.place.naver.com/restaurant/35279432,한식,28.0
21,12055421,곱창고,서울중앙대점,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100520026,1,대지,52,26,서울특별시 동작구 흑석동 52-26,115904157413,서울특별시 동작구 서달로14길,8,,1159010500100520026015570,,서울특별시 동작구 서달로14길 8,156857,06979,,,,126.963477321776,37.5078569056799,곱창고%20흑석동,https://m.place.naver.com/restaurant/37603888,"곱창,막창,양",75.0
26,12069449,또와분식,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100430006,1,대지,43,6,서울특별시 동작구 흑석동 43-6,115904157419,서울특별시 동작구 서달로14사길,10,,1159010500100430006015988,,서울특별시 동작구 서달로14사길 10,156857,06979,,1,,126.964973025598,37.5068428252156,또와분식%20흑석동,https://m.place.naver.com/restaurant/1071195366,0,
27,12073538,연어이야기,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500101800004,1,대지,180,4,서울특별시 동작구 흑석동 180-4,115903119010,서울특별시 동작구 흑석로,115,,1159010500101800004016118,,서울특별시 동작구 흑석로 115,156860,06909,,2,,126.961428287068,37.5088030293919,연어이야기%20흑석동,https://m.place.naver.com/restaurant/37253820,일식당,41.0
28,12075038,바야흐로,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100090027,1,대지,9,27,서울특별시 동작구 흑석동 9-27,115903119009,서울특별시 동작구 현충로,102,,1159010500100090027015685,,서울특별시 동작구 현충로 102,156877,06979,,,,126.964805241601,37.5075261523505,바야흐로%20흑석동,https://m.place.naver.com/restaurant/38554583,요리주점,69.0
31,12090587,BHC치킨흑석점,흑석점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500103350001,1,대지,335,1,서울특별시 동작구 흑석동 335-1,115903119012,서울특별시 동작구 흑석한강로,2,,1159010500100450001000002,흑석한강센트레빌,서울특별시 동작구 흑석한강로 2,156070,06979,,1,,126.966503491965,37.5065859111797,BHC치킨흑석점%20흑석동,https://m.place.naver.com/restaurant/31249128,"치킨,닭강정",61.0
33,12097370,스타벅스,중앙대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500102050005,1,대지,205,5,서울특별시 동작구 흑석동 205-5,115903119010,서울특별시 동작구 흑석로,75,1,1159010500102050005016371,,서울특별시 동작구 흑석로 75-1,156861,06911,,,,126.958128851814,37.5069358330654,스타벅스%20흑석동,https://m.place.naver.com/restaurant/38767184,카페,2199.0
34,12098078,어촌마을,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500101810001,1,대지,181,1,서울특별시 동작구 흑석동 181-1,115904157420,서울특별시 동작구 서달로15길,23,,1159010500101810001017774,한신빌딩,서울특별시 동작구 서달로15길 23,156860,06972,,2,,126.961625040908,37.5084803816401,어촌마을%20흑석동,https://m.place.naver.com/restaurant/896992757,0,
36,12128682,침사추이,,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100260002,1,대지,26,2,서울특별시 동작구 흑석동 26-2,115903119009,서울특별시 동작구 현충로,131,,1159010500100260220000001,인따르시아발할라휘트니스클럽,서울특별시 동작구 현충로 131,156857,06904,,2,,126.968151156027,37.5068526098628,침사추이%20흑석동,https://m.place.naver.com/restaurant/572482988,중식당,267.0
38,12161315,아딸,,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100100000,1,대지,10,,서울특별시 동작구 흑석동 10,115903119009,서울특별시 동작구 현충로,119,,1159010500100100000014997,명수대현대아파트,서울특별시 동작구 현충로 119,156791,06904,109,,,126.967782706809,37.5081469018967,아딸%20흑석동,https://m.place.naver.com/restaurant/385296151,0,
45,12436395,베이커즈원,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11590,동작구,1159060500,흑석동,1159010500,흑석동,1159010500100260002,1,대지,26,2,서울특별시 동작구 흑석동 26-2,115903119009,서울특별시 동작구 현충로,131,,1159010500100260220000001,인따르시아발할라휘트니스클럽,서울특별시 동작구 현충로 131,156857,06904,,,,126.968151156027,37.5068526098628,베이커즈원%20흑석동,https://m.place.naver.com/restaurant/862627321,카페,198.0
